67,ARLP,"Alliance Resource Partners, LP",Energy,Thermal Coal,USA,3.05B,4.30,24.00,1.31%,"778,178"
68,ARW,Arrow Electronics Inc.,Technology,Electronics & Computer Distribution,USA,6.73B,6.15,120.95,0.83%,"888,818"
69,ASC,Ardmore Shipping Corp,Industrials,Marine Shipping,Bermuda,564.16M,3.10,13.66,-0.07%,"506,987"
70,ASGN,ASGN Inc,Technology,Information Technology Services,USA,4.14B,18.81,85.50,-1.81%,"339,431"
71,ASIX,AdvanSix Inc,Basic Materials,Chemicals,USA,704.19M,6.62,25.88,-7.80%,"338,010"
72,ASML,ASML Holding NV,Technology,Semiconductor Equipment & Materials,Netherlands,253.49B,31.19,642.41,1.75%,"906,769"
73,ASR,Grupo Aeroportuario Del Sureste S.A. ADR,Industrials,Airports & Air Services,Mexico,6.30B,12.15,227.46,1.54%,"66,086"
74,ASRT,Assertio Holdings Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,217.88M,1.62,2.34,9.86%,"1,079,250"
75,ASX,ASE Technology Holding Co.Ltd ADR,Technology,Semiconductors,Taiwan,17.29B,14.33,8.03,2.42%,"5,296,819"
76,ATEN,A10 Networks Inc,Technology,Software - Infrastructure,USA,810.02M,18.17,10.93,0.46%,"759,676"
77,ATKR,Atkore Inc,Industrials,Electrical Equipment & Parts,USA,4.99B,7.01,132.03,1.39%,"277,651"
78,ATR,Aptargroup Inc.,Healthcare,Medical Instruments & Supplies,USA,8.25B,29.78,125.35,1.43%,"278,042"
79,ATRI,Atrion Corp.,Healthcare,Medical Instruments & Supplies,USA,592.77M,21.95,336.80,-0.50%,"2,323"
80,ATS,ATS Corporation.,Industrials,Specialty Industrial Machinery,Canada,3.40B,31.58,34.40,3.09%,"71,158"
81,AUBN,Auburn National Bancorp Inc.,Financial,Banks - Regional,USA,73.57M,7.48,21.02,1.01%,"1,012"
82,AVB,Avalonbay Communities Inc.,Real Estate,REIT - Residential,USA,24.33B,26.11,171.32,2.02%,"609,342"
83,AVT,Avnet Inc.,Technology,Electronics & Computer Distribution,USA,4.26B,5.43,46.60,2.71%,"885,616"
84,AX,Axos Financial Inc.,Financial,Banks - Regional,USA,2.35B,7.39,40.70,1.85%,"1,074,096"
85,AXR,AMREP Corp.,Real Estate,Real Estate - Development,USA,85.90M,4.08,16.30,0.62%,"4,445"
86,AXS,Axis Capital Holdings Ltd,Financial,Insurance - Specialty,Bermuda,4.65B,8.72,54.51,0.94%,"889,088"
87,AYI,"Acuity Brands, Inc.",Industrials,Electrical Equipment & Parts,USA,5.28B,15.84,170.55,2.17%,"286,553"
88,AZN,Astrazeneca plc ADR,Healthcare,Drug Manufacturers - General,United Kingdom,198.26B,32.36,63.96,-0.34%,"4,358,912"
89,BAM,Brookfield Asset Management Ltd,Financial,Asset Management,Canada,13.05B,6.98,31.66,1.93%,"1,898,749"
90,BANF,Bancfirst Corp.,Financial,Banks - Regional,USA,2.82B,13.00,85.67,1.15%,"68,270"
91,BANR,Banner Corp.,Financial,Banks - Regional,USA,1.54B,7.88,44.72,2.76%,"155,035"
92,BAP,Credicorp Ltd,Financial,Banks - Regional,Peru,9.67B,7.15,121.57,-5.39%,"894,573"
93,BBAR,BBVA Argentina ADR,Financial,Banks - Regional,Argentina,894.57M,-,4.38,1.62%,"578,188"
94,BBSI,Barrett Business Services Inc.,Industrials,Staffing & Employment Services,USA,656.04M,14.11,97.48,2.60%,"45,830"
95,BBW,Build A Bear Workshop Inc,Consumer Cyclical,Specialty Retail,USA,375.75M,7.51,25.86,2.58%,"147,436"
96,BCAL,Southern Calif Bancorp,Financial,Banks - Regional,USA,259.68M,8.80,14.19,3.58%,"4,909"
97,BCC,Boise Cascade Co,Basic Materials,Building Materials,USA,4.13B,8.27,104.41,3.19%,"309,336"
98,BCPC,Balchem Corp.,Basic Materials,Specialty Chemicals,USA,3.90B,38.00,121.02,1.77%,"75,172"
99,BELFB,Bel Fuse Inc.,Technology,Electronic Components,USA,650.93M,8.57,52.20,-1.04%,"158,125"
100,BETR,Better Home & Finance Holding Co.,Financial,Mortgage Finance,USA,354.04M,2.92,0.48,1.91%,"696,882"
101,BF-A,Brown-Forman Corp.,Consumer Defensive,Beverages - Wineries & Distilleries,USA,29.34B,38.43,61.20,3.15%,"56,081"
102,BF-B,Brown-Forman Corp.,Consumer Defensive,Beverages - Wineries & Distilleries,USA,28.55B,37.40,59.55,2.96%,"1,647,539"
103,BFC,Bank First Corp,Financial,Banks - Regional,USA,849.90M,15.44,81.80,1.24%,"29,055"
104,BG,Bunge Global SA,Consumer Defensive,Farm Products,USA,15.41B,8.21,106.06,0.56%,"855,510"
105,BH,Biglari Holdings Inc.,Consumer Cyclical,Restaurants,USA,490.02M,4.50,158.07,3.47%,"3,012"
106,BHB,Bar Harbor Bankshares Inc,Financial,Banks - Regional,USA,392.95M,8.30,25.92,0.82%,"43,705"
107,BHLB,Berkshire Hills Bancorp Inc.,Financial,Banks - Regional,USA,934.77M,9.19,21.24,2.66%,"233,760"
108,BHP,BHP Group Limited ADR,Basic Materials,Other Industrial Metals & Mining,Australia,149.79B,11.63,59.12,0.15%,"2,218,542"
109,BIIB,Biogen Inc,Healthcare,Drug Manufacturers - General,USA,36.13B,13.59,249.50,3.16%,"992,164"
110,BKE,"Buckle, Inc.",Consumer Cyclical,Apparel Retail,USA,1.82B,7.54,36.03,3.71%,"311,213"
111,BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,USA,35.41B,21.21,35.19,-0.90%,"5,517,986"
112,BLD,TopBuild Corp,Industrials,Engineering & Construction,USA,8.40B,13.73,264.35,3.77%,"319,370"
113,BLDR,Builders Firstsource Inc,Industrials,Building Products & Equipment,USA,15.64B,10.76,126.79,4.57%,"2,544,979"
114,BLK,Blackrock Inc.,Financial,Asset Management,USA,98.23B,18.45,657.97,2.09%,"894,205"
115,BMA,Banco Macro S.A. ADR,Financial,Banks - Regional,Argentina,1.28B,3.03,20.45,0.94%,"286,243"
116,BMAC,Black Mountain Acquisition Corp,Financial,Shell Companies,USA,126.21M,95.95,10.66,0.00%,2
117,BMI,Badger Meter Inc.,Technology,Scientific & Technical Instruments,USA,4.19B,49.26,142.92,0.37%,"149,944"
118,BNRE,Brookfield Reinsurance Ltd,Financial,Insurance - Reinsurance,Bermuda,1.37B,-,33.20,3.33%,"13,662"
119,BNTX,BioNTech SE ADR,Healthcare,Biotechnology,Germany,22.97B,5.38,95.78,3.56%,"1,098,316"
120,BOH,Bank of Hawaii Corp.,Financial,Banks - Regional,USA,2.22B,11.33,55.78,4.93%,"801,655"
121,BON,Bon Natural Life Ltd,Consumer Defensive,Packaged Foods,China,5.41M,0.72,0.49,1.04%,"202,129"
122,BOOT,Boot Barn Holdings Inc,Consumer Cyclical,Apparel Retail,USA,2.26B,14.20,75.27,8.58%,"2,309,406"
123,BOSC,B.O.S. Better Online Solutions,Technology,Communication Equipment,Israel,14.92M,7.22,2.60,0.39%,"24,299"
124,BOTJ,Bank of James Financial Group Inc,Financial,Banks - Regional,USA,44.95M,5.30,9.90,0.51%,"1,384"
125,BP,BP plc ADR,Energy,Oil & Gas Integrated,United Kingdom,102.50B,4.28,36.20,-1.79%,"11,268,586"
126,BPOP,Popular Inc.,Financial,Banks - Regional,USA,5.02B,7.11,69.53,2.25%,"573,095"
127,BPRN,Princeton Bancorp Inc,Financial,Banks - Regional,USA,202.98M,7.44,32.27,1.80%,"9,727"
128,BPT,BP Prudhoe Bay Royalty Trust,Energy,Oil & Gas Midstream,USA,94.87M,1.82,4.35,-1.14%,"209,871"
129,BRC,Brady Corp.,Industrials,Security & Protection Services,USA,2.58B,15.20,53.31,2.19%,"441,589"
